date,visitors,conversions,conversion_rate
2025-07-01,1468,80,0.0544959128065395
2025-07-02,1455,99,0.068041237113402
2025-07-03,1491,91,0.0610328638497652
2025-07-04,1605,98,0.0610591900311526
2025-07-05,1541,83,0.053861129136924
2025-07-06,1690,86,0.050887573964497
2025-07-07,1576,80,0.0507614213197969
2025-07-08,1670,85,0.0508982035928143
2025-07-09,1606,112,0.0697384806973848
2025-07-10,1512,101,0.0667989417989418
2025-07-11,1541,80,0.0519143413367942
2025-07-12,1650,98,0.0593939393939393
2025-07-13,1567,74,0.0472239948947032
2025-07-14,1410,69,0.0489361702127659
2025-07-15,1550,88,0.0567741935483871
2025-07-16,1441,78,0.0541290770298403
2025-07-17,1373,82,0.0597232337946103
2025-07-18,1158,79,0.0682210708117443
2025-07-19,1346,36,0.0269687964338781
2025-07-20,1230,60,0.048780487804878
2025-07-21,1111,50,0.045004500450045
2025-07-22,1209,61,0.0504549214226633
2025-07-23,1250,67,0.0536
2025-07-24,1029,75,0.0728862973760933
2025-07-25,1173,69,0.0588235294117647
2025-07-26,1166,52,0.0445969125214408
2025-07-27,1233,57,0.0462287104622871
2025-07-28,1254,64,0.0510366826156299
2025-07-29,1215,59,0.048559670781893
2025-07-30,1298,82,0.0631741140215716
2025-07-31,1413,89,0.0629865534324133
2025-08-01,1402,85,0.0606276747503566
2025-08-02,1515,86,0.0567656765676567
2025-08-03,1592,76,0.0477386934673366
2025-08-04,1710,93,0.0543859649122807
2025-08-05,1543,80,0.051847051198963
2025-08-06,1637,95,0.0580329871716554
2025-08-07,1733,114,0.0657818811309867
2025-08-08,1650,93,0.0563636363636363
2025-08-09,1654,76,0.0459492140266021
2025-08-10,1556,71,0.0456298200514138
2025-08-11,1530,84,0.0549019607843137
2025-08-12,1594,102,0.0639899623588456
2025-08-13,1527,161,0.1054354944335298
2025-08-14,1476,98,0.0663956639566395
2025-08-15,1333,83,0.0622655663915979
2025-08-16,1272,88,0.0691823899371069
2025-08-17,1211,71,0.0586292320396366
2025-08-18,1339,73,0.0545182972367438
2025-08-19,1172,67,0.0571672354948805
2025-08-20,1192,77,0.0645973154362416
2025-08-21,1194,62,0.0519262981574539
2025-08-22,1201,66,0.0549542048293089
2025-08-23,1156,56,0.0484429065743944
2025-08-24,1236,74,0.0598705501618122
2025-08-25,1211,59,0.0487200660611065
2025-08-26,1330,84,0.0631578947368421
2025-08-27,1289,87,0.0674941815360744
2025-08-28,1218,78,0.064039408866995
2025-08-29,1352,84,0.0621301775147929
2025-08-30,1494,72,0.0482998661311914
2025-08-31,1408,55,0.0396022727272727
2025-09-01,1435,70,0.0491428571428571
2025-09-02,1546,61,0.0397800776196636
2025-09-03,1575,100,0.0635174603174603
2025-09-04,1551,111,0.0715667311411992
2025-09-05,1634,86,0.0526315789473684
2025-09-06,1742,85,0.0487944890929965
2025-09-07,1617,77,0.0476190476190476
2025-09-08,1586,97,0.0611601513240857
2025-09-09,1562,91,0.058258642765685
2025-09-10,1616,108,0.0668316831683168
2025-09-11,1611,117,0.0726256983240223
2025-09-12,1511,98,0.0648577101257445
2025-09-13,1544,105,0.0680051813471502
2025-09-14,1520,89,0.0585526315789473
2025-09-15,1272,70,0.0550314465408805
2025-09-16,1223,0,0.0
2025-09-17,1208,80,0.0662251655629139
2025-09-18,1198,93,0.0776293823038397
2025-09-19,1187,95,0.080033698399326
2025-09-20,1103,54,0.0489573889392565
2025-09-21,1128,57,0.050531914893617
2025-09-22,1090,73,0.0669724770642201
2025-09-23,1128,56,0.0496453900709219
2025-09-24,1175,71,0.0604255319148936
2025-09-25,1183,82,0.0693153000845308
2025-09-26,1159,67,0.0578084555651423
2025-09-27,1319,77,0.0583775587566338
2025-09-28,1278,71,0.0555555555555555
